abase,	lower/humiliate
abash,	embarrass
abate,	subside/ decrease/ lessen
abbreviate,	shorten
abdicate,	renounce/ give up
aberrant,	abnormal or deviant
abettor,	encourager
abeyance,	suspended action
abhor,	detest/ hate
abject,	wretched/ lacking pride
abjure,	renounce upon oath
ablution,	washing
abnegation,	repudiation/ self-sacrifice
abolish,	cancel/ put an end to
abominate,	loathe/ hate
aboriginal,	being the first of its kind in a region/ primitive/ native
abortive,	unsuccessful/ fruitless
abrasive,	rubbing away/ tending to grind down
abridge,	condense or shorten
abrogate,	abolish
abscond,	depart secretly and hide
absolute,	complete/ totally unlimited/ certain
absolve,	pardon(an offense)
abstain,	refrain/ hold oneself voluntary form an action or practice
abstemious,	sparing in eating and drinking/ temperate
abstinence,	restrain from eating or drinking
abstract,	theoretical/ not concrete/ nonrepresentational
abstruse,	obscure/ profound/ difficult to understand
abusive,	coarsely insulting/ physically harmful
abut,	border upon/ adjoin
abysmal,	bottomless
accede,	agree
accelerate,	move faster
accessible,	easy to approach/ obtainable
accessory,	additional object/ useful but not essential thing
acclaim,	applaud/ announce with great approval
acclimate,	adjust to climate
acclivity,	sharp upslope of a hill
accolade,	award of merit
accommodate,	oblige or help someone/ adjust or bring into harmony/ adapt
accomplice,	partner in crime
accord,	agreement
accost,	approach and speak first to a person
accoutre,	to equip
accretion,	growth/ increase
accrue,	come about by addition
acerbity,	bitterness of speech and temper
acetic,	vinegary
acidulous,	slightly sour/ sharp/ caustic
acknowledge,	recognize/ admit
acme,	top/ pinnacle
acoustics,	science of sound/ quality that makes a room easy or hard to hear in
acquiesce,	assent/ agree passively
acquittal,	deliverance from a charge
acrid,	sharp/ bitterly pungent
acrimonious,	stinging/ caustic
actuarial,	calculating/ pertaining to insurance statistics
actuate,	motivate
acuity,	sharpness
acumen,	mental keenness
acute,	quickly perceptive/ keen/ brief and severe
adage,	wise saying/ proverb
adamant,	hard/ inflexible
adapt,	alter/ modify
addiction,	compulsive/ habitual need
addle,	to muddle/ drive crazy/ become rotten
address,	to direct speech to/ deal with or discuss
adduce,	to present as evidence
adept,	expert at
adhere,	stick last
adherent,	supporter/ follower
adjunct,	something attached to but holding and inferior position
adjuration,	solemn urging
admonish,	warn/ reprove
admonition,	warning
adorn,	decorate
adroit,	skillful
adulation,	flattery/ admiration
adulterate,	make impure by mixing with baser substances
adulterated,	made impure or spoiled by the addition of inferior materials
advent,	arrival
adventitious,	accidental/ casual
adversary,	opponent
adverse,	unfavorable/ hostile
adversity,	poverty/ misfortune
advert,	refer to
advocate,	urge/ plead for
aegis,	shield/ defense
aesthetic,	artistic/ dealing with or capable of appreciation of the beautiful
affable,	courteous
affected,	artificial/ pretended
affidavit,	written statement made under oath
affiliation,	joining/ associating with
affinity,	kinship
affirmation,	positive assertion/ confirmation/ solemn pledge by one who refuses to take an oath
affluence,	abundance/ wealth
affray,	public brawl
agape,	openmouthed
agenda,	items of business at a meeting
agglomeration,	collection/ heap
aggrandize,	increase or intensify
aggregate,	sum/ total
aghast,	horrified
agility,	nimbleness
agitate,	stir up/ disturb
agnostic,	one who is skeptical of the existence or knowability of a god or any ultimate reality
agrarian,	pertaining to land or its cultivation
alacrity,	cheerful promptness
alchemy,	medieval chemistry
alcove,	nook/ small/ recessed section of a room
alias,	an assumed name
alienate,	make hostile/ separate
alimentary,	supplying nourishment
alimony,	payment by a husband to his divorced wife
allay,	calm/ pacify
allege,	state without proof
allegory,	story in which characters are used as symbols
alleviate,	relieve
alliteration,	repetition of beginning sound in poetry
allocate,	assign
alloy,	a mixture as of metals
allude,	relief indirectly
allure,	entice/ attract
allusion,	indirect reference
aloof,	apart/ reserved
aloft,	upward
altercation,	wordy quarrel
altruistic,	unselfishly generous/ concerned for others
amalgamate,	combine/ unite in one body
amass,	collect
amazon,	female warrior
ambidextrous,	capable of using either hand with equal ease
ambience,	environment/ atmosphere
ambiguous,	unclear or doubtful in meaning
ambivalence,	the state of having contradictory or conflicting emotional attitudes
amble,	moving at an easy pace
ambrosia,	food of the gods
ambulatory,	able to walk
ameliorate,	improve
amenable,	readily managed/ willing to be led
amend,	correct/ change/ generally for the better
amenities,	convenient features/ courtesies
amiable,	agreeable/ lovable
amicable,	friendly
amiss,	wrong/ faulty
