abase,	lower/humiliate,0
abash,	embarrass,0
abate,	subside/ decrease/ lessen,0
abbreviate,	shorten,0
abdicate,	renounce/ give up,0
aberrant,	abnormal or deviant,0
abettor,	encourager,0
abeyance,	suspended action,0
abhor,	detest/ hate,0
abject,	wretched/ lacking pride,0
abjure,	renounce upon oath,0
ablution,	washing,0
abnegation,	repudiation/ self-sacrifice,0
abolish,	cancel/ put an end to,0
abominate,	loathe/ hate,0
aboriginal,	being the first of its kind in a region/ primitive/ native,0
abortive,	unsuccessful/ fruitless,0
abrasive,	rubbing away/ tending to grind down,0
abridge,	condense or shorten,0
abrogate,	abolish,0
abscond,	depart secretly and hide,0
absolute,	complete/ totally unlimited/ certain,0
absolve,	pardon(an offense),0
abstain,	refrain/ hold oneself voluntary form an action or practice,0
abstemious,	sparing in eating and drinking/ temperate,0
abstinence,	restrain from eating or drinking,0
abstract,	theoretical/ not concrete/ nonrepresentational,0
abstruse,	obscure/ profound/ difficult to understand,0
abusive,	coarsely insulting/ physically harmful,0
abut,	border upon/ adjoin,0
abysmal,	bottomless,0
accede,	agree,0
accelerate,	move faster,0
accessible,	easy to approach/ obtainable,0
accessory,	additional object/ useful but not essential thing,0
acclaim,	applaud/ announce with great approval,0
acclimate,	adjust to climate,0
acclivity,	sharp upslope of a hill,0
accolade,	award of merit,0
accommodate,	oblige or help someone/ adjust or bring into harmony/ adapt,0
accomplice,	partner in crime,0
accord,	agreement,0
accost,	approach and speak first to a person,0
accoutre,	to equip,0
accretion,	growth/ increase,0
accrue,	come about by addition,0
acerbity,	bitterness of speech and temper,0
acetic,	vinegary,0
acidulous,	slightly sour/ sharp/ caustic,0
acknowledge,	recognize/ admit,0
acme,	top/ pinnacle,0
acoustics,	science of sound/ quality that makes a room easy or hard to hear in,0
acquiesce,	assent/ agree passively,0
acquittal,	deliverance from a charge,0
acrid,	sharp/ bitterly pungent,0
acrimonious,	stinging/ caustic,0
actuarial,	calculating/ pertaining to insurance statistics,0
actuate,	motivate,0
acuity,	sharpness,0
acumen,	mental keenness,0
