[HEADER]
Category=TOEFL
Description=Word List
PrimaryField=1
SecondaryField=2
GroupField=3
[DATA]
word	definition	part of speech
abate	to lessen; to subside	verb
abet	to help; to aid	verb
abhor	to hate; to detest	verb
abject	miserable; wretched	adjective
abruptly	suddenly; unexpectedly	adverb
absorbed	interested; engrossed	adjective
abundant	plentiful	adjective
accessory	something added	noun
accommodations	a room and meals	noun
accomplice	one who aids and abets a criminal	noun
accost	to meet someone and to speak first	verb
accumulate	to pile up; to collect	verb
accurate	correct	adjective
acrid	sharp; bitter	adjective
adjacent	next to; adjoining	adjective
admonish	to warn about; to advise against doing something	verb
adore	to love greatly	verb
adroit	clever; skillful	adjective
affluent	rich	adjective
aggravate	to make worse	verb
agile	lively	adjective
agitate	to disturb	verb
aglow	shining brightly	adjective
ailment	a mild illness	noun
ajar	slightly open	adjective
akin	similar; related	adjective
albino	a person or animal without normal pigmentation, characterized by pale skin, hair, and eyes	noun
alert	perceptive; quick	adjective
alleviate	to lessen; to relieve	verb
alluring	tempting; enticing	adjective
aloof	reserved; indifferent	adjective
amateur	not professional; untrained	adjective
ambiguous	doubtful; uncertain	adjective
amicable	friendly	adjective
amnesia	a lapse of memory	noun
ample	adequate; enough	adjective
amplify	to make larger, more powerful	verb
anguish	great sorrow; pain	noun
ankle	the joint between the foot and the leg	noun
annual	yearly	adjective
anomalous	unusual	adjective
antique	a very old and valuable object	noun
applaud	to clap	verb
appraisal	an estimate of the value	noun
appropriate	suitable	adjective
arduous	demanding great effort; strenuous	adjective
arouse	to spur; to incite	verb
arraign	to charge; to accuse	verb
arrogance	haughtiness	noun
aspire	to strive toward; to seek eagerly	verb
assert	to affirm an opinion	verb
asset	a useful or valuable quality; finances	noun
assuage	to ease; to lessen	verb
astound	to surprise greatly; to astonish	verb
astray	away from the correct path or direction	adverb
audacious	bold; daring	adjective
audible	able to be heard	adjective
augment	to increase	verb
autonomous	free; independent	adjective
avarice	greed	noun
aversion	intense dislike	noun
baffle	to confuse	verb
bald	without hair	adjective
ban	to declare that something must not be done; to prohibit	verb
bar	a court of law	noun
barricade	a barrier; an obstruction	noun
beckon	to signal with one's hand	verb
behavior	one's actions	noun
bellow	to shout loudly	verb
beneficiary	a person who receives money or property from an insurance policy or from a will	noun
beverage	a kind of drink	noun
bewilder	to confuse	verb
bicker	to quarrel	verb
bitter	a sharp, acrid taste	adjective
blame	responsibility	noun
blandishment	coaxing; persuasion by flattery	noun
bleak	cold and bare; cheerless	adjective
blend	a mixture	noun
blithe	carefree and gay; lighthearted	adjective
blizzard	a severe snowstorm	noun
blunder	an error; a mistake	noun
blush	to flush	verb
boulder	a large rock	noun
boundary	border; limit	noun
boundless	without limits	adjective
brandish	to shake or wave a weapon menacingly 	verb
brawl	a noisy fight; a quarrel	noun
bribe	money or gift used to influence someone to do something that he should not	noun
brim	the upper edge of anything hollow	noun
brink	the edge of a high place	noun
brittle	easily broken	adjective
broom	an object used to sweep the floor	noun
brutal	savage; cruel	adjective
bully	to be cruel to weaker people or animals	verb
bump	a light blow; a jolt	noun
cabal	a group of people united in a scheme to promote their views by intrigue; a group of conspirators	noun
callous	insensitive; unfeeling	adjective
captive	a person who is not permitted to leave	noun
carve	to slice meat	verb
cast	to throw out or down	verb
castigate	to reprove	verb
cataclysm	a great flood; a terrible event	noun
chaos	without organization; confusion	noun
chasm	a deep crack in the earth	noun
chaste	pure	adjective
chilly	cool	adjective
chore	a task; a job	noun
chum	an intimate friend	noun
cider	juice from apples	noun
clamorous	noisy	adjective
clap	to applaud	verb
clemency	kindness, mercy	noun
cluttered	confused; disorganized; littered	adjective
coerce	to compel by pressure or threat	verb
cogent	convincing	adjective
colleague	a fellow worker; a co-worker, usually in a profession	noun
colloquy	a formal conversation; a conference	noun
commence	to begin	verb
commend	to praise	verb
compassion	symphony; pity	noun
complex	complicated	adjective
complexion	the natural color and appearance of the skin	noun
compliment	an expression of praise or admiration	noun
compulsory	required	adjective
conceal	to hide	verb
concoct	to devise; to invent	verb
concord	an agreement	noun
concurrence	an agreement, usually by equals	noun
condone	to overlook; to excuse	verb
confide	to entrust a secret	verb
confident	sure of oneself	adjective
confine	to limit	verb
confiscate	to seize by authority	verb
congeal	to become hard; to solidify	verb
congenial	pleasing in nature of character; agreeable	adjective
congenital	existing at birth, but not hereditary	adjective
congestion	crowding	noun
conjecture	a supposition; a guess	noun
conscientious	careful; honest	adjective
constantly	all the time	adverb
contaminated	polluted	adjective
contract	to reduce	verb
conventional	usual; ordinary	adjective
conversion	a change	noun
core	a center	noun
coward	one who lacks courage; a person who is not brave	noun
crave	to desire greatly	verb
credulous	inclined to believe too readily; gullible	adjective
creed	a belief; a faith	noun
crude	not finished; rough	adjective
cruise	to drive slowly	verb
crumb	a small piece of bread or cake	noun
crutch	a support used as an aid in walking, often used in pairs	noun
cryptic	secret; hidden	adjective
culpable	deserving blame	adjective
curt	rudely brief in speech or manner	adjective
curtail	to shorten; to suspend	verb
dagger	a knife	noun
dangle	to hang loosely; to swing	verb
debtor	one who owes	noun
decade	a period of ten years	noun
decency	modest behavior; propriety	noun
deck	the floor of a ship	noun
decline	a downward slope; a declivity	noun
decrepit	weakened by illness or age; badly used	adjective
dedicate	to honor someone by placing his or her name in the beginning of a literary book or an artistic performance	verb
defect	an imperfection	noun
deformed	disfigured	adjective
deliberately	in a planned way	adverb
demolish	to tear down completely	verb
dent	to depress a surface by pressure or a blow	verb
depict	to describe	verb
depreciate	to express disapproval	verb
deprive	to take away	verb
deride	to make fun of; to jeer	verb
designate	to name; to specify	verb
detect	to discover	verb
deterioration	lower value; depreciation	noun
detest	to hate	verb
deviate	to depart from; to differ	verb
diffidence	lack of confidence in oneself	noun
digress	to stray from the main subject	verb
dilate	to become wider; larger	verb
diligent	industrious; busy	adjective
diminutive	a small amount; something small	adjective
dingy	dirty; shabby	adjective
disband	to dissolve; to discontinue	verb
discard	to throw out	verb
discern	to recognize; to perceive	verb
dispatch	to send	verb
dissect	to examine; to criticize	verb
disseminate	to spread; to distribute	verb
divert	to entertain; to amuse	verb
divulge	to make known; to reveal	verb
doze	to sleep for a short time; to take a nap	verb
drench	to make very wet	verb
drought	a long period of dry weather	noun
drowsy	very sleepy	adjective
dubious	doubtful	adjective
dungeon	a dark cell; a prison	noun
durable	sturdy; lasting	adjective
duration	the length of time from beginning to end	noun
dusk	evening, just before dark	noun
earthquake	a shaking of the earth's surface caused by disturbances underground	noun
eccentric	strange; odd	adjective
eloquence	persuasive, graceful language	noun
elucidate	to make understandable	verb
elusive	tending to escape notice	adjective
emit	to give off	verb
emphasis	special attention; importance	noun
emulate	to try to equal or excel	verb
endeavor	to make an effort; to try very hard	verb
energy	vigor; strength	noun
enervate	to debilitate; to weaken	verb
enhance	to make greater, better	verb
entice	to attract; to lure	verb
envious	discontent or resentful because of another's possessions or qualities	adjective
equitably	fairly; justly	adverb
equivocal	ambiguous; evasive	adjective
eradicate	to remove all traces	verb
erosion	wearing away	noun
erudite	learned	adjective
escort	to accompany	verb
essential	important; necessary	adjective
esteem	a favorable opinion; respect	noun
eulogy	high praise; laudation  	noun
evolve	to develop gradually	verb
exacting	detailed; meticulous	adjective
exasperate	to make angry or impatient	verb
exceed	to be greater than	verb
exhausted	very tired; enervated	adjective
exorbitant	extravagant; excessive	adjective
expand	to make larger	verb
expanse	a large area	noun
expire	to cease to be effective, to terminate	verb
explicit	very clear; definite	adjective
exploit	to use for selfish advantage or profit	verb
expound	to explain in detail	verb
extempore	without preparation; impromptu	adjective
extensive	far-reaching	adjective
